name,het,long,lat
Army,0.00122697,-118.24711,36.50159
Conness,0.000877411,-119.31404,37.97251
Crabtree,0.001273542,-118.32363,36.54445
Donohue,0.001810317,-119.24847,37.75289
Dusy,0.001600292,-118.53421,37.09534
FRecess,0.001403947,-118.78462,37.43124
HungryP,0.00144199,-118.64077,37.16094
Italy,0.001373185,-118.76735,37.34084
Kuna,0.001209517,-119.25929,37.84874
Lamarck,0.001395969,-118.65303,37.20691
Lyell,0.001793819,-119.25991,37.74956
Millys,0.001685843,-118.43453,36.69039
Monarch,0.001404198,-118.54783,36.41429
NForester,0.001568598,-118.3711,36.71056
Ottoway,0.000868609,-119.39713,37.63967
Pear,0.001279003,-118.6658,36.59707
Piute,0.001461256,-118.679944,37.23683
Ritter,0.001720076,-119.20355,37.71442
Ruby,0.001244319,-118.77009,37.41151
SamMack,0.001653567,-118.51212,37.11646
Selden,0.001378445,-118.91287,37.30436
SForester,0.001537676,-118.37648,36.68882
Sixty,0.001699564,-118.43623,36.82776
Sphinx,0.001687074,-118.51487,36.71427
Taboose,0.001261327,-118.39877,36.97993
Treasure,0.001424086,-118.57619,37.14056
Wright,0.001373752,-118.34489,36.63116
